precinct_id,city,dem_reg_pct,dem_turnout_pct,dem_performance,total_turnout,categories
24379,Simi Valley,40.38,52.73,12.35,110.0,DEM_LEAN|DEM_OVERPERFORM
23891,Thousand Oaks,41.8,54.05,12.25,185.0,DEM_LEAN|DEM_OVERPERFORM
24287,,46.29,58.17,11.88,306.0,DEM_LEAN|DEM_OVERPERFORM
23897,Thousand Oaks,50.09,61.84,11.75,152.0,DEM_LEAN|DEM_OVERPERFORM
23834,Thousand Oaks,44.68,55.62,10.94,178.0,DEM_LEAN|DEM_OVERPERFORM
19377,,44.3,55.06,10.76,445.0,DEM_LEAN|DEM_OVERPERFORM
19024,Los Angeles,55.46,66.18,10.72,1085.0,DEM_LEAN|DEM_OVERPERFORM
24009,Thousand Oaks,44.71,55.14,10.43,185.0,DEM_LEAN|DEM_OVERPERFORM
24172,,49.17,58.73,9.56,252.0,DEM_LEAN
20596,,51.58,61.06,9.48,701.0,DEM_LEAN
19704,Calabasas,48.3,57.58,9.28,1023.0,DEM_LEAN
24169,,44.41,53.45,9.04,348.0,LEAN|DEM_LEAN
24461,Moorpark,65.98,74.83,8.85,143.0,DEM_LEAN
24687,,51.4,60.2,8.8,407.0,DEM_LEAN
24795,Camarillo,41.28,50.0,8.72,156.0,LEAN|DEM_LEAN
20884,,60.95,69.59,8.64,1233.0,DEM_LEAN
19041,Los Angeles,55.13,63.55,8.42,1446.0,DEM_LEAN
20225,Los Angeles,56.27,64.64,8.37,1547.0,DEM_LEAN
24537,Thousand Oaks,46.72,54.8,8.08,354.0,DEM_LEAN
23629,Thousand Oaks,43.08,50.93,7.85,430.0,LEAN|DEM_LEAN
