precinct_id,srprec,city,jewish_reg_pct,jewish_turnout_pct,jewish_performance,dem_performance,total_turnout
24288,0044010,,13.1,19.1,6.0,5.91,304.0
23629,0092100,Thousand Oaks,13.6,19.5,5.9,7.85,430.0
19199,9001352A,Los Angeles,16.9,22.7,5.8,7.3,1627.0
24151,0044008,,14.3,19.8,5.5,1.22,353.0
20486,0070008A,,20.8,26.1,5.3,6.11,360.0
20393,1000033A,Calabasas,18.9,24.1,5.2,5.35,969.0
20469,1000077A,Calabasas,22.1,27.3,5.2,3.56,1113.0
19246,1000011A,Calabasas,14.7,19.7,5.0,6.25,1161.0
20760,9001364A,Los Angeles,17.4,22.3,4.9,5.32,1728.0
23630,0092102,Thousand Oaks,13.8,18.6,4.8,-2.83,285.0
