precinct_id,srprec,county,city,classification_score,classification,competitive_score,competitive_category,sanders_2020_pct,biden_2020_pct,bloomberg_2020_pct,dem_voters_2020,prop33_yes_pct,total_voters_2024
68916,0014202,Ventura,,1.8,Progressive,7.8,Not Competitive,50.0,0.0,0.0,2,30.39772727272727,204.0
68967,0039008,Ventura,Moorpark,2.5,Progressive,26.7,Not Competitive,55.72,22.14,8.76,411,33.479212253829324,274.0
69174,0084016,Ventura,Simi Valley,3.3,Progressive,27.5,Not Competitive,50.92,19.63,7.98,163,33.27759197324415,290.0
69169,0084006,Ventura,Simi Valley,4.0,Progressive,37.3,Competitive,50.13,27.85,6.08,395,32.92035398230089,275.0
69170,0084008,Ventura,Simi Valley,4.8,Progressive,33.5,Not Competitive,46.67,26.0,8.67,150,31.5884476534296,277.0
69167,0084002,Ventura,Simi Valley,5.5,Progressive,81.9,Highly Competitive,44.95,29.46,6.67,465,38.818076477404404,390.0
69168,0084004,Ventura,Simi Valley,6.3,Progressive,56.2,Competitive,44.0,24.0,7.2,125,37.019230769230774,286.0
68932,0024000,Ventura,,7.0,Progressive,73.5,Highly Competitive,41.06,28.46,5.04,397,33.65695792880259,387.0
69185,0084042,Ventura,Simi Valley,7.8,Progressive,47.1,Competitive,46.89,27.12,10.17,177,43.309859154929576,280.0
68970,0039016,Ventura,Moorpark,8.6,Progressive,20.6,Not Competitive,44.16,30.37,7.48,428,42.290748898678416,108.0
69270,0092066,Ventura,Thousand Oaks,9.3,Progressive,10.8,Not Competitive,45.33,22.84,10.03,289,56.78391959798995,152.0
69182,0084036,Ventura,Simi Valley,10.1,Progressive,29.0,Not Competitive,42.74,27.09,7.54,358,29.559748427672954,346.0
69175,0084018,Ventura,Simi Valley,10.8,Progressive,32.0,Not Competitive,43.87,32.58,7.42,310,28.040540540540544,302.0
69320,0095000,Ventura,,11.6,Progressive,50.9,Competitive,41.63,26.61,7.73,233,32.38805970149254,386.0
69173,0084014,Ventura,Simi Valley,12.3,Progressive,95.5,Highly Competitive,36.0,24.0,4.0,25,47.66949152542373,189.0
69176,0084020,Ventura,Simi Valley,13.1,Mainstream,15.4,Not Competitive,45.95,24.32,12.16,74,24.295010845986983,256.0
