precinct_id,srprec,county,city,classification,sanders_2020_pct,biden_2020_pct,bloomberg_2020_pct,dem_voters_2020,prop33_yes_pct,total_voters_2024
68862,0007052,Ventura,Camarillo,Mainstream,25.9,32.88,12.61,444,36.140350877192986,286
68863,0007054,Ventura,Camarillo,Mainstream,0,0,0,0,38.59060402684564,334
68916,0014202,Ventura,Unincorporated,Progressive,50,0,0,2,30.39772727272727,204
68932,0024000,Ventura,Unincorporated,Progressive,41.06,28.46,5.04,397,33.65695792880259,387
68964,0039000,Ventura,Moorpark,Mainstream,38.7,27.86,12.69,323,24.954128440366972,293
68965,0039004,Ventura,Moorpark,Progressive,37.81,33.33,11.19,402,50,143
68966,0039006,Ventura,Moorpark,Mainstream,0,0,0,0,32.17821782178218,325
68967,0039008,Ventura,Moorpark,Progressive,55.72,22.14,8.76,411,33.479212253829324,274
68968,0039010,Ventura,Moorpark,Mainstream,26.32,40.35,8.42,285,48.12967581047381,184
68969,0039012,Ventura,Moorpark,Progressive,33.19,33.61,10.78,714,30.51643192488263,412
68970,0039016,Ventura,Moorpark,Progressive,44.16,30.37,7.48,428,42.290748898678416,108
68971,0039018,Ventura,Moorpark,Progressive,31.24,33.27,9.53,493,29.190751445086704,347
68972,0039020,Ventura,Moorpark,Mainstream,26.05,33.68,13.68,380,29.489051094890513,408
68973,0039022,Ventura,Moorpark,Mainstream,0,0,0,0,30.606860158311346,230
68975,0039028,Ventura,Moorpark,Mainstream,23.93,33.91,13.24,861,33.193277310924366,124
68976,0039032,Ventura,Moorpark,Mainstream,29.52,34.97,11.29,735,52.39234449760766,169
68978,0039038,Ventura,Moorpark,Mainstream,0,0,0,0,33.03703703703704,406
68991,0044000,Ventura,Unincorporated,Mainstream,20.49,40.44,14.48,366,40.93023255813954,267
68992,0044004,Ventura,Unincorporated,Mainstream,19.59,41.74,13.83,781,27.717391304347828,348
68993,0044010,Ventura,Unincorporated,Mainstream,0,0,0,0,36.94915254237288,304
68994,0044012,Ventura,Unincorporated,Moderate,21.53,37.9,18.25,1277,27.395209580838326,364
68995,0044016,Ventura,Unincorporated,Mainstream,0,0,0,0,37.055837563451774,223
69156,0074000,Ventura,Unincorporated,Mainstream,23.13,38.78,15.83,575,12.893982808022923,192
69163,0081000,Ventura,Unincorporated,Moderate,15.51,42.9,26.73,303,16.296296296296298,363
69167,0084002,Ventura,Simi Valley,Progressive,44.95,29.46,6.67,465,38.818076477404404,390
69168,0084004,Ventura,Simi Valley,Progressive,44,24,7.2,125,37.019230769230774,286
69169,0084006,Ventura,Simi Valley,Progressive,50.13,27.85,6.08,395,32.92035398230089,275
69170,0084008,Ventura,Simi Valley,Progressive,46.67,26,8.67,150,31.58844765,277
69171,0084010,Ventura,Simi Valley,Progressive,32.18,32.98,10.9,376,33.82352941176471,324
69172,0084012,Ventura,Simi Valley,Progressive,42.47,28.64,11.85,405,34.36482084690554,256
69173,0084014,Ventura,Simi Valley,Progressive,36,24,4,25,47.66949152542373,189
69174,0084016,Ventura,Simi Valley,Progressive,50.92,19.63,7.98,163,33.27759197324415,290
69175,0084018,Ventura,Simi Valley,Progressive,43.87,32.58,7.42,310,28.040540540540544,302
69176,0084020,Ventura,Simi Valley,Mainstream,45.95,24.32,12.16,74,24.295010845986983,256
69177,0084022,Ventura,Simi Valley,Progressive,39.49,31.78,7.48,428,39.68804159445407,235
69178,0084024,Ventura,Simi Valley,Mainstream,32.57,32.78,15.03,479,29.135338345864664,293
69179,0084030,Ventura,Simi Valley,Mainstream,35.86,30.68,14.74,251,34.125636672325975,295
69180,0084032,Ventura,Simi Valley,Progressive,32.28,37.75,9.22,347,38.372093023255815,192
69181,0084034,Ventura,Simi Valley,Progressive,37.5,37.5,11.03,136,33.52272727272727,305
69182,0084036,Ventura,Simi Valley,Progressive,42.74,27.09,7.54,358,29.559748427672954,346
69183,0084038,Ventura,Simi Valley,Progressive,37.17,29.2,4.42,113,28.252032520325205,288
69184,0084040,Ventura,Simi Valley,Progressive,34.38,37.5,8.75,160,37.28448275862069,234
69185,0084042,Ventura,Simi Valley,Progressive,46.89,27.12,10.17,177,43.309859154929576,280
69186,0084044,Ventura,Simi Valley,Progressive,32.11,34.13,10.28,545,37.62183235867446,213
69187,0084048,Ventura,Simi Valley,Progressive,34.38,30.82,10.48,477,19.342359767891683,370
69188,0084050,Ventura,Simi Valley,Moderate,33.33,33.33,33.33,3,34.582623509369675,329
69189,0084054,Ventura,Simi Valley,Progressive,37.5,31.1,11.05,344,25.35410764872521,388
69190,0084056,Ventura,Simi Valley,Progressive,33.74,32.02,10.1,406,28.77358490566038,379
