precinct_id,srprec,county,county_numeric,city,classification_score,classification_category,total_voters,dem_margin_pct,prop_33_no_pct,dem_reg_pct,rep_reg_pct,dem_turnout_pct,rep_turnout_pct,progressive_vote_share,rep_dem_registration_ratio,biden_pct,williamson_pct,phillips_pct
23874,0084091,Ventura,1,Simi Valley,16.48,Progressive,184.0,-13.59,,40.52,28.3,32.07,45.65,18.52,0.696,79.63,12.96,5.56
23505,0084103,Ventura,1,Simi Valley,18.26,Progressive,119.0,14.29,,42.51,21.25,47.06,32.77,13.79,0.498,84.48,8.62,5.17
23897,0092066,Ventura,1,Thousand Oaks,18.64,Progressive,152.0,37.5,,50.09,20.63,61.84,24.34,11.95,0.411,85.87,5.43,6.52
20139,7100004B,Los Angeles,0,Unincorporated,19.09,Progressive,1364.0,51.25,,58.93,12.1,66.2,14.96,7.91,0.205,90.12,5.93,1.98
20560,9005918A,Los Angeles,0,Los Angeles,21.11,Progressive,1005.0,58.31,,66.06,11.53,71.04,12.74,6.1,0.174,93.62,2.55,3.55
20884,7100030A,Los Angeles,0,Unincorporated,21.5,Progressive,1233.0,54.5,,60.95,13.03,69.59,15.09,6.58,0.214,92.45,4.14,2.44
24461,0039004,Ventura,1,Moorpark,21.82,Progressive,143.0,60.84,,65.98,9.31,74.83,13.99,5.05,0.141,89.9,4.04,1.01
24263,0084005,Ventura,1,Simi Valley,22.16,Progressive,159.0,3.77,,39.1,29.19,42.77,38.99,15.87,0.743,82.54,11.11,4.76
19024,9001317C,Los Angeles,0,Los Angeles,22.9,Progressive,1085.0,52.17,,55.46,14.52,66.18,14.01,6.6,0.262,92.11,3.73,2.87
24473,0039016,Ventura,1,Moorpark,24.02,Progressive,108.0,29.63,,54.49,19.66,58.33,28.7,7.69,0.359,84.62,6.15,1.54
24490,0039010,Ventura,1,Moorpark,24.21,Progressive,184.0,23.37,,55.1,19.24,55.98,32.61,7.37,0.348,86.32,2.11,5.26
20225,9005833A,Los Angeles,0,Los Angeles,24.57,Progressive,1547.0,47.9,,56.27,15.91,64.64,16.74,5.95,0.283,92.91,2.82,3.13
23839,0092004,Ventura,1,Thousand Oaks,24.72,Progressive,256.0,24.22,,45.87,23.75,53.12,28.91,10.14,0.516,86.23,5.07,5.07
23833,0092001,Ventura,1,Thousand Oaks,25.3,Progressive,291.0,16.84,,47.08,23.7,50.17,33.33,9.52,0.502,87.76,7.48,2.04
19041,9001312A,Los Angeles,0,Los Angeles,25.42,Progressive,1446.0,44.81,,55.13,16.72,63.55,18.74,5.8,0.303,93.29,3.64,2.16
19658,9000267A,Los Angeles,0,Los Angeles,25.52,Progressive,1803.0,37.71,,54.19,19.48,59.51,21.8,6.77,0.359,91.98,2.71,4.06
19761,9007689A,Los Angeles,0,Los Angeles,26.11,Progressive,2266.0,41.17,,56.24,17.89,61.3,20.12,5.65,0.318,93.14,2.86,2.79
19717,9001382A,Los Angeles,0,Los Angeles,26.48,Progressive,1883.0,34.89,,54.05,20.8,58.58,23.69,6.64,0.385,92.8,2.58,4.06
23737,0006924,Ventura,1,Camarillo,26.5,Progressive,172.0,22.67,,42.3,28.28,50.0,27.33,11.76,0.665,87.06,9.41,2.35
20876,9001408A,Los Angeles,0,Los Angeles,27.05,Progressive,1032.0,23.84,,44.52,23.63,51.07,27.23,8.96,0.53,90.22,2.85,6.11
20760,9001364A,Los Angeles,0,Los Angeles,27.32,Progressive,1728.0,38.43,,55.79,18.96,61.11,22.69,5.3,0.34,93.8,2.3,3.0
20658,9001367B,Los Angeles,0,Los Angeles,27.85,Progressive,2251.0,34.12,,52.53,20.91,58.33,24.21,6.04,0.398,93.22,1.63,4.41
24288,0044010,Ventura,1,Unincorporated,27.94,Progressive,304.0,25.33,,45.73,22.68,51.64,26.32,7.75,0.494,89.68,1.94,5.81
19377,4060001A,Los Angeles,0,Unincorporated,27.96,Progressive,445.0,31.24,,44.3,24.23,55.06,23.82,8.68,0.546,89.67,6.2,2.48
24376,0084025,Ventura,1,Simi Valley,27.99,Progressive,205.0,4.88,,42.4,28.38,44.39,39.51,10.87,0.667,86.96,7.61,3.26
19704,1000006A,Los Angeles,0,Calabasas,28.07,Progressive,1023.0,32.55,,48.3,22.71,57.58,25.02,7.22,0.47,90.25,2.71,4.51
20596,0070006A,Los Angeles,0,Unincorporated,28.1,Progressive,701.0,37.8,,51.58,21.84,61.06,23.25,6.34,0.423,91.95,3.9,2.44
19661,1000009A,Los Angeles,0,Calabasas,28.14,Progressive,250.0,16.0,,41.95,27.48,46.0,30.0,10.52,0.653,87.72,5.26,5.26
24752,0007032,Ventura,1,Camarillo,28.55,Progressive,373.0,3.49,,40.72,28.2,43.7,40.21,10.97,0.691,85.16,7.74,3.23
20857,9001100A,Los Angeles,0,Los Angeles,28.66,Progressive,1386.0,28.28,,47.73,23.14,54.04,25.76,7.12,0.484,92.17,2.85,4.27
20112,2780002A,Los Angeles,0,Hidden Hills,28.92,Progressive,566.0,6.89,,38.75,31.7,42.4,35.51,13.04,0.816,84.78,7.39,5.65
20254,4050059B,Los Angeles,0,Malibu,29.02,Progressive,1127.0,27.68,,48.44,21.57,53.77,26.09,6.18,0.445,93.14,4.29,1.89
23939,0092031,Ventura,1,Thousand Oaks,29.43,Progressive,145.0,15.86,,41.83,22.51,45.52,29.66,7.58,0.536,92.42,4.55,3.03
23891,0092053,Ventura,1,Thousand Oaks,29.91,Progressive,185.0,28.65,,41.8,24.29,54.05,25.41,8.08,0.579,89.9,5.05,3.03
23968,0039032,Ventura,1,Moorpark,29.99,Progressive,169.0,21.3,,51.23,25.94,54.44,33.14,6.67,0.505,92.22,5.56,1.11
19246,1000011A,Los Angeles,0,Calabasas,30.0,Progressive,1161.0,20.59,,43.97,25.49,50.22,29.63,8.03,0.579,90.69,5.11,2.92
23991,0092094,Ventura,1,Thousand Oaks,30.26,Progressive,271.0,20.3,,45.3,27.18,51.29,31.0,8.21,0.598,89.55,5.22,2.99
24574,0092121,Ventura,1,Thousand Oaks,30.33,Progressive,226.0,15.93,,41.5,25.62,47.79,31.86,8.49,0.615,85.85,4.72,3.77
24168,0044001,Ventura,1,Unincorporated,30.45,Progressive,276.0,15.58,,45.79,29.49,51.45,35.87,8.89,0.641,90.37,1.48,7.41
24287,0044011,Ventura,1,Unincorporated,30.45,Progressive,306.0,33.33,,46.29,22.14,58.17,24.84,5.88,0.477,92.94,3.53,2.35
20892,9005428A,Los Angeles,0,Los Angeles,30.47,Progressive,1360.0,21.1,,44.16,23.79,50.29,29.19,6.99,0.538,92.7,2.64,4.35
24579,0092126,Ventura,1,Thousand Oaks,30.58,Progressive,119.0,-19.33,,36.58,36.91,31.09,50.42,15.38,1.0,84.62,7.69,7.69
24549,0092117,Ventura,1,Thousand Oaks,30.58,Progressive,159.0,32.7,,50.26,23.08,57.86,25.16,5.43,0.457,94.57,5.43,0.0
19361,9007693D,Los Angeles,0,Los Angeles,30.63,Progressive,1725.0,31.65,,49.33,22.74,56.58,24.93,5.47,0.461,93.8,2.63,2.84
24395,0084022,Ventura,1,Simi Valley,30.66,Progressive,235.0,-5.53,,41.4,28.94,40.0,45.53,9.78,0.697,89.13,4.35,5.43
20199,9005923A,Los Angeles,0,Los Angeles,30.91,Progressive,1926.0,30.79,,51.15,21.18,55.82,25.03,4.44,0.414,93.82,1.93,2.51
20632,0080007A,Los Angeles,0,Agoura Hills,31.12,Progressive,1580.0,24.11,,46.88,25.76,52.34,28.23,6.79,0.549,91.37,3.95,2.84
20464,4050051A,Los Angeles,0,Malibu,31.17,Progressive,1113.0,19.68,,46.46,24.55,50.58,30.91,6.37,0.528,92.71,3.64,2.73
24529,0092119,Ventura,1,Thousand Oaks,31.22,Progressive,120.0,12.5,,43.96,31.87,50.83,38.33,9.84,0.719,90.16,6.56,3.28
19203,1000015A,Los Angeles,0,Calabasas,31.25,Progressive,812.0,9.24,,41.96,24.18,43.72,34.48,7.19,0.576,89.52,4.79,2.4
19199,9001352A,Los Angeles,0,Los Angeles,31.31,Progressive,1627.0,30.92,,48.88,21.94,56.18,25.26,4.83,0.449,94.72,2.02,2.81
24687,0005300,Ventura,1,Unincorporated,31.36,Progressive,407.0,37.59,,51.4,18.69,60.2,22.6,3.23,0.363,94.74,2.02,1.21
23834,0092000,Ventura,1,Thousand Oaks,31.53,Progressive,178.0,28.09,,44.68,24.11,55.62,27.53,6.32,0.538,89.47,2.11,4.21
19190,1000016A,Los Angeles,0,Calabasas,31.8,Progressive,1177.0,32.29,,52.48,21.94,58.11,25.83,3.96,0.418,94.82,1.37,2.59
24260,0084006,Ventura,1,Simi Valley,31.94,Progressive,275.0,1.09,,37.26,31.49,38.55,37.45,11.65,0.842,82.52,4.85,6.8
20469,1000077A,Los Angeles,0,Calabasas,32.09,Progressive,1113.0,18.6,,46.93,27.05,50.49,31.9,6.68,0.576,92.76,3.34,3.34
24795,0007003,Ventura,1,Camarillo,32.39,Progressive,156.0,19.87,,41.28,26.16,50.0,30.13,7.5,0.631,90.0,1.25,6.25
23919,0039022,Ventura,1,Moorpark,32.43,Progressive,230.0,-3.04,,39.16,34.74,38.26,41.3,12.08,0.882,83.52,5.49,6.59
20685,0080004A,Los Angeles,0,Agoura Hills,32.64,Progressive,1091.0,23.01,,46.82,27.4,53.07,30.06,6.5,0.585,91.7,3.07,3.43
24576,0092124,Ventura,1,Thousand Oaks,32.66,Progressive,242.0,10.33,,41.14,27.0,42.56,32.23,7.76,0.654,90.29,4.85,2.91
