precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
23638,0092105,Ventura,Thousand Oaks,1.0,Progressive,14.0,61.54
23909,0039027,Ventura,Moorpark,5.0,Progressive,226.0,43.58
24420,0090006,Ventura,Unincorporated,11.0,Progressive,23.0,69.23
23874,0084091,Ventura,Simi Valley,15.0,Progressive,230.0,50.22
23505,0084103,Ventura,Simi Valley,18.0,Progressive,360.0,45.01
23937,0092032,Ventura,Thousand Oaks,19.0,Progressive,315.0,39.86
23897,0092066,Ventura,Thousand Oaks,19.0,Progressive,412.0,43.22
23717,0006929,Ventura,Camarillo,19.0,Progressive,165.0,56.41
24263,0084005,Ventura,Simi Valley,20.0,Progressive,422.0,51.5
24353,0084015,Ventura,Simi Valley,20.0,Progressive,257.0,63.49
20139,7100004B,Los Angeles,Unincorporated,20.0,Progressive,3631.0,58.59
20884,7100030A,Los Angeles,Unincorporated,22.0,Progressive,1233.0,
23607,0006935,Ventura,Camarillo,22.0,Progressive,53.0,79.59
19364,4060001C,Los Angeles,Unincorporated,22.0,Progressive,80.0,66.23
20560,9005918A,Los Angeles,Los Angeles,22.0,Progressive,1676.0,70.16
24461,0039004,Ventura,Moorpark,23.0,Progressive,555.0,50.0
19024,9001317C,Los Angeles,Los Angeles,23.0,Progressive,2614.0,52.22
23839,0092004,Ventura,Thousand Oaks,23.0,Progressive,647.0,49.11
23833,0092001,Ventura,Thousand Oaks,24.0,Progressive,684.0,46.74
23737,0006924,Ventura,Camarillo,24.0,Progressive,365.0,64.04
24490,0039010,Ventura,Moorpark,24.0,Progressive,437.0,51.87
24473,0039016,Ventura,Moorpark,24.0,Progressive,243.0,57.71
20876,9001408A,Los Angeles,Los Angeles,25.0,Progressive,1944.0,77.69
20225,9005833A,Los Angeles,Los Angeles,25.0,Progressive,3211.0,62.0
19041,9001312A,Los Angeles,Los Angeles,25.0,Progressive,1446.0,
20112,2780002A,Los Angeles,Hidden Hills,25.0,Progressive,1069.0,81.21
24376,0084025,Ventura,Simi Valley,25.0,Progressive,475.0,62.69
19661,1000009A,Los Angeles,Calabasas,25.0,Progressive,491.0,71.84
19658,9000267A,Los Angeles,Los Angeles,25.0,Progressive,1803.0,
19717,9001382A,Los Angeles,Los Angeles,26.0,Progressive,2344.0,76.18
24579,0092126,Ventura,Thousand Oaks,26.0,Progressive,259.0,78.23
23472,0007050,Ventura,Camarillo,26.0,Progressive,347.0,45.09
24288,0044010,Ventura,Unincorporated,26.0,Progressive,630.0,63.05
24752,0007032,Ventura,Camarillo,26.0,Progressive,801.0,64.78
19761,9007689A,Los Angeles,Los Angeles,26.0,Progressive,2266.0,
19377,4060001A,Los Angeles,Unincorporated,26.0,Progressive,794.0,69.78
20540,0070005B,Los Angeles,Unincorporated,26.0,Progressive,13.0,63.64
23864,0084099,Ventura,Simi Valley,27.0,Progressive,690.0,64.35
20596,0070006A,Los Angeles,Unincorporated,27.0,Progressive,1330.0,72.1
23939,0092031,Ventura,Thousand Oaks,27.0,Progressive,374.0,47.49
23891,0092053,Ventura,Thousand Oaks,27.0,Progressive,460.0,54.08
24395,0084022,Ventura,Simi Valley,27.0,Progressive,584.0,60.31
19704,1000006A,Los Angeles,Calabasas,27.0,Progressive,1023.0,
20760,9001364A,Los Angeles,Los Angeles,27.0,Progressive,1728.0,
