precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat
23638,0092105,Ventura,Thousand Oaks,1.0,Progressive,55.0,Competitive,45.45,14.0,61.54,63.64,18.18,Progressive Dem
23909,0039027,Ventura,Moorpark,5.0,Progressive,82.0,Highly Competitive,18.39,226.0,43.58,50.57,32.18,Progressive Dem
24420,0090006,Ventura,Unincorporated,11.0,Progressive,100.0,Highly Competitive,0.0,23.0,69.23,41.67,41.67,Moderate Rep-Leaning
23874,0084091,Ventura,Simi Valley,15.0,Progressive,87.0,Highly Competitive,13.59,230.0,50.22,32.07,45.65,Mainstream Rep
23505,0084103,Ventura,Simi Valley,18.0,Progressive,86.0,Highly Competitive,14.29,360.0,45.01,47.06,32.77,Progressive Dem
23937,0092032,Ventura,Thousand Oaks,19.0,Progressive,70.0,Highly Competitive,30.67,315.0,39.86,58.67,28.0,Progressive Dem
23897,0092066,Ventura,Thousand Oaks,19.0,Progressive,63.0,Competitive,37.5,412.0,43.22,61.84,24.34,Progressive Dem
23717,0006929,Ventura,Camarillo,19.0,Progressive,99.0,Highly Competitive,1.28,165.0,56.41,35.9,37.18,Moderate Rep-Leaning
24263,0084005,Ventura,Simi Valley,20.0,Progressive,96.0,Highly Competitive,3.77,422.0,51.5,42.77,38.99,Moderate Dem-Leaning
24353,0084015,Ventura,Simi Valley,20.0,Progressive,74.0,Highly Competitive,26.6,257.0,63.49,24.47,51.06,MAGA Rep
20139,7100004B,Los Angeles,Unincorporated,20.0,Progressive,49.0,Competitive,51.25,3631.0,58.59,66.2,14.96,Progressive Dem
20884,7100030A,Los Angeles,Unincorporated,22.0,Progressive,46.0,Competitive,54.5,1233.0,,69.59,15.09,Mainstream Dem
23607,0006935,Ventura,Camarillo,22.0,Progressive,89.0,Highly Competitive,11.43,53.0,79.59,48.57,37.14,Mainstream Dem
19364,4060001C,Los Angeles,Unincorporated,22.0,Progressive,43.0,Competitive,57.78,80.0,66.23,66.67,8.89,Mainstream Dem
20560,9005918A,Los Angeles,Los Angeles,22.0,Progressive,42.0,Competitive,58.31,1676.0,70.16,71.04,12.74,Mainstream Dem
24461,0039004,Ventura,Moorpark,23.0,Progressive,40.0,Competitive,60.84,555.0,50.0,74.83,13.99,Mainstream Dem
19024,9001317C,Los Angeles,Los Angeles,23.0,Progressive,48.0,Competitive,52.17,2614.0,52.22,66.18,14.01,Mainstream Dem
23839,0092004,Ventura,Thousand Oaks,23.0,Progressive,76.0,Highly Competitive,24.22,647.0,49.11,53.12,28.91,Mainstream Dem
