precinct_id,srprec,county,city,classification_score,classification_7cat,competitive_score,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,dem_advantage
23909,0039027,Ventura,Moorpark,4,Progressive Dem,82,18.39,226,43.58,50.57,32.18,18.39
23874,0084091,Ventura,Simi Valley,11,Mainstream Rep,87,13.59,230,50.22,32.07,45.65,-13.59
24353,0084015,Ventura,Simi Valley,13,MAGA Rep,74,26.6,257,63.49,24.47,51.06,-26.6
23717,0006929,Ventura,Camarillo,14,Moderate Rep-Leaning,99,1.28,165,56.41,35.9,37.18,-1.28
24263,0084005,Ventura,Simi Valley,15,Moderate Dem-Leaning,96,3.77,422,51.5,42.77,38.99,3.77
23505,0084103,Ventura,Simi Valley,16,Progressive Dem,86,14.29,360,45.01,47.06,32.77,14.29
24579,0092126,Ventura,Thousand Oaks,17,Mainstream Rep,81,19.33,259,78.23,31.09,50.42,-19.33
24741,0007041,Ventura,Camarillo,18,MAGA Rep,74,26.01,338,66.14,28.9,54.91,-26.01
23897,0092066,Ventura,Thousand Oaks,18,Progressive Dem,63,37.5,412,43.22,61.84,24.34,37.5
23864,0084099,Ventura,Simi Valley,18,Mainstream Rep,79,20.85,690,64.35,32.33,53.17,-20.85
20112,2780002A,Los Angeles,Hidden Hills,19,Progressive Dem,93,6.89,1069,81.21,42.4,35.51,6.89
23937,0092032,Ventura,Thousand Oaks,20,Progressive Dem,70,30.67,315,39.86,58.67,28.0,30.67
23737,0006924,Ventura,Camarillo,20,Progressive Dem,78,22.67,365,64.04,50.0,27.33,22.67
24376,0084025,Ventura,Simi Valley,21,Moderate Dem-Leaning,95,4.88,475,62.69,44.39,39.51,4.88
23919,0039022,Ventura,Moorpark,21,Moderate Rep-Leaning,97,3.04,404,69.39,38.26,41.3,-3.04
24260,0084006,Ventura,Simi Valley,21,Moderate Dem-Leaning,99,1.09,589,67.08,38.55,37.45,1.09
19661,1000009A,Los Angeles,Calabasas,21,Mainstream Dem,84,16.0,491,71.84,46.0,30.0,16.0
23839,0092004,Ventura,Thousand Oaks,21,Mainstream Dem,76,24.22,647,49.11,53.12,28.91,24.22
24752,0007032,Ventura,Camarillo,21,Moderate Dem-Leaning,97,3.49,801,64.78,43.7,40.21,3.49
24362,0084012,Ventura,Simi Valley,21,Mainstream Rep,83,17.58,643,65.64,32.81,50.39,-17.58
23449,0084110,Ventura,Simi Valley,22,MAGA Rep,72,27.9,669,66.45,26.33,54.23,-27.9
23833,0092001,Ventura,Thousand Oaks,22,Mainstream Dem,83,16.84,684,46.74,50.17,33.33,16.84
20139,7100004B,Los Angeles,Unincorporated,22,Mainstream Dem,49,51.25,3631,58.59,66.2,14.96,51.25
23644,0084072,Ventura,Simi Valley,22,Mainstream Rep,81,18.84,604,74.91,32.25,51.09,-18.84
23472,0007050,Ventura,Camarillo,22,Mainstream Dem,83,17.02,347,45.09,48.94,31.91,17.02
24491,0039013,Ventura,Moorpark,22,Moderate Rep-Leaning,91,8.67,625,71.19,36.13,44.8,-8.67
20876,9001408A,Los Angeles,Los Angeles,23,Mainstream Dem,76,23.84,1944,77.69,51.07,27.23,23.84
20884,7100030A,Los Angeles,Unincorporated,23,Mainstream Dem,46,54.5,1233,,69.59,15.09,54.5
23511,0084104,Ventura,Simi Valley,23,Moderate Rep-Leaning,92,8.51,507,60.37,38.72,47.23,-8.51
24473,0039016,Ventura,Moorpark,23,Mainstream Dem,71,29.63,243,57.71,58.33,28.7,29.63
24268,0084007,Ventura,Simi Valley,23,Mainstream Rep,85,15.0,739,68.17,34.21,49.21,-15.0
24168,0044001,Ventura,Unincorporated,23,Mainstream Dem,85,15.58,462,69.0,51.45,35.87,15.58
23990,0092091,Ventura,Thousand Oaks,23,Moderate Dem-Leaning,95,5.25,680,69.09,45.03,39.78,5.25
19377,4060001A,Los Angeles,Unincorporated,23,Mainstream Dem,69,31.24,794,69.78,55.06,23.82,31.24
24272,0084009,Ventura,Simi Valley,23,Mainstream Rep,84,16.58,869,61.94,35.05,51.63,-16.58
24490,0039010,Ventura,Moorpark,23,Mainstream Dem,77,23.37,437,51.87,55.98,32.61,23.37
24529,0092119,Ventura,Thousand Oaks,23,Mainstream Dem,88,12.5,209,68.69,50.83,38.33,12.5
23722,0006921,Ventura,Camarillo,23,Mainstream Rep,78,22.46,731,78.87,30.45,52.92,-22.46
24373,0084026,Ventura,Simi Valley,23,Moderate Rep-Leaning,92,8.41,621,64.54,35.28,43.69,-8.41
24395,0084022,Ventura,Simi Valley,23,Moderate Rep-Leaning,95,5.53,584,60.31,40.0,45.53,-5.53
24348,0084044,Ventura,Simi Valley,23,Moderate Rep-Leaning,92,8.45,528,62.38,36.62,45.07,-8.45
24573,0092122,Ventura,Thousand Oaks,23,Moderate Rep-Leaning,92,8.44,647,71.41,36.68,45.12,-8.44
24398,0084021,Ventura,Simi Valley,24,Mainstream Rep,83,16.72,596,71.15,34.75,51.48,-16.72
24574,0092121,Ventura,Thousand Oaks,24,Mainstream Dem,84,15.93,603,51.64,47.79,31.86,15.93
19024,9001317C,Los Angeles,Los Angeles,24,Mainstream Dem,48,52.17,2614,52.22,66.18,14.01,52.17
20765,0070041B,Los Angeles,Unincorporated,24,Mainstream Dem,85,15.49,149,72.86,50.7,35.21,15.49
23399,0007002,Ventura,Camarillo,24,Moderate Rep-Leaning,94,6.51,669,65.52,38.7,45.21,-6.51
19246,1000011A,Los Angeles,Calabasas,24,Mainstream Dem,80,20.59,1588,60.99,50.22,29.63,20.59
23528,0084101,Ventura,Simi Valley,24,Moderate Dem-Leaning,98,1.68,710,53.76,40.6,38.93,1.68
24288,0044010,Ventura,Unincorporated,24,Mainstream Dem,75,25.33,630,63.05,51.64,26.32,25.33
20486,0070008A,Los Angeles,Unincorporated,24,Mainstream Dem,89,10.83,360,,45.0,34.17,10.83
23992,0092093,Ventura,Thousand Oaks,24,Moderate Rep-Leaning,99,1.02,588,74.68,40.68,41.69,-1.02
24028,0092084,Ventura,Thousand Oaks,24,Mainstream Rep,82,18.23,346,82.92,29.69,47.92,-18.23
23939,0092031,Ventura,Thousand Oaks,24,Mainstream Dem,84,15.86,374,47.49,45.52,29.66,15.86
24011,0092072,Ventura,Thousand Oaks,24,Moderate Dem-Leaning,96,4.29,702,69.63,44.77,40.48,4.29
19658,9000267A,Los Angeles,Los Angeles,24,Mainstream Dem,63,37.71,1803,,59.51,21.8,37.71
20560,9005918A,Los Angeles,Los Angeles,24,Mainstream Dem,42,58.31,1676,70.16,71.04,12.74,58.31
19704,1000006A,Los Angeles,Calabasas,24,Mainstream Dem,68,32.55,1023,,57.58,25.02,32.55
23891,0092053,Ventura,Thousand Oaks,24,Mainstream Dem,72,28.65,460,54.08,54.05,25.41,28.65
23991,0092094,Ventura,Thousand Oaks,24,Mainstream Dem,80,20.3,504,61.3,51.29,31.0,20.3
19761,9007689A,Los Angeles,Los Angeles,25,Mainstream Dem,59,41.17,2266,,61.3,20.12,41.17
23968,0039032,Ventura,Moorpark,25,Mainstream Dem,79,21.3,445,47.61,54.44,33.14,21.3
23423,0007011,Ventura,Camarillo,25,Moderate Rep-Leaning,98,2.04,181,78.7,39.8,41.84,-2.04
24346,0084042,Ventura,Simi Valley,25,Moderate Dem-Leaning,100,0.36,592,56.69,41.79,41.43,0.36
20892,9005428A,Los Angeles,Los Angeles,25,Mainstream Dem,79,21.1,2377,78.63,50.29,29.19,21.1
20857,9001100A,Los Angeles,Los Angeles,25,Mainstream Dem,72,28.28,2692,77.46,54.04,25.76,28.28
20658,9001367B,Los Angeles,Los Angeles,25,Mainstream Dem,66,34.12,3917,83.04,58.33,24.21,34.12
20596,0070006A,Los Angeles,Unincorporated,25,Mainstream Dem,63,37.8,1330,72.1,61.06,23.25,37.8
24734,0007023,Ventura,Camarillo,25,Moderate Rep-Leaning,94,5.59,482,73.23,35.66,41.26,-5.59
19717,9001382A,Los Angeles,Los Angeles,25,Mainstream Dem,65,34.89,2344,76.18,58.58,23.69,34.89
23887,0092051,Ventura,Thousand Oaks,25,Moderate Rep-Leaning,97,3.16,901,64.96,39.25,42.41,-3.16
23837,0092002,Ventura,Thousand Oaks,25,Moderate Rep-Leaning,99,1.45,153,69.06,42.03,43.48,-1.45
20225,9005833A,Los Angeles,Los Angeles,25,Mainstream Dem,53,47.9,3211,62.0,64.64,16.74,47.9
24576,0092124,Ventura,Thousand Oaks,25,Mainstream Dem,90,10.33,556,55.19,42.56,32.23,10.33
24461,0039004,Ventura,Moorpark,25,Mainstream Dem,40,60.84,555,50.0,74.83,13.99,60.84
19203,1000015A,Los Angeles,Calabasas,25,Moderate Dem-Leaning,91,9.24,1930,64.49,43.72,34.48,9.24
24795,0007003,Ventura,Camarillo,25,Mainstream Dem,80,19.87,403,54.45,50.0,30.13,19.87
19041,9001312A,Los Angeles,Los Angeles,25,Mainstream Dem,56,44.81,1446,,63.55,18.74,44.81
23787,0084065,Ventura,Simi Valley,25,Moderate Rep-Leaning,97,3.1,784,54.43,39.79,42.89,-3.1
24254,0084004,Ventura,Simi Valley,25,Moderate Rep-Leaning,94,5.94,650,62.98,38.11,44.06,-5.94
20504,7770001A,Los Angeles,Westlake Village,25,Moderate Dem-Leaning,91,8.93,632,68.27,45.24,36.31,8.93
24335,0084030,Ventura,Simi Valley,26,Moderate Rep-Leaning,97,2.71,615,65.87,41.36,44.07,-2.71
23772,0092017,Ventura,Thousand Oaks,26,Mainstream Dem,88,12.18,634,57.07,46.13,33.95,12.18
23775,0084069,Ventura,Simi Valley,26,Moderate Rep-Leaning,99,1.17,690,72.42,40.18,41.35,-1.17
23764,0092011,Ventura,Thousand Oaks,26,Moderate Rep-Leaning,95,4.6,464,61.71,40.59,45.19,-4.6
24454,0039005,Ventura,Moorpark,26,Moderate Dem-Leaning,92,7.98,622,53.81,45.07,37.09,7.98
24455,0039008,Ventura,Moorpark,26,Moderate Rep-Leaning,91,9.49,485,66.52,37.96,47.45,-9.49
20760,9001364A,Los Angeles,Los Angeles,26,Mainstream Dem,62,38.43,1728,,61.11,22.69,38.43
24760,0007035,Ventura,Camarillo,26,Moderate Dem-Leaning,96,3.57,261,56.35,41.07,37.5,3.57
23765,0092014,Ventura,Thousand Oaks,26,Moderate Rep-Leaning,93,7.3,442,78.69,35.77,43.07,-7.3
23796,0092027,Ventura,Thousand Oaks,26,Moderate Rep-Leaning,94,6.32,661,68.95,37.0,43.33,-6.32
23791,0092023,Ventura,Thousand Oaks,26,Moderate Dem-Leaning,99,0.77,687,67.45,40.51,39.74,0.77
23834,0092000,Ventura,Thousand Oaks,26,Mainstream Dem,72,28.09,378,43.54,55.62,27.53,28.09
23800,0092028,Ventura,Thousand Oaks,26,Moderate Rep-Leaning,93,7.47,372,61.84,39.08,46.55,-7.47
24156,0044009,Ventura,Unincorporated,26,Mainstream Dem,86,14.32,756,76.12,49.88,35.56,14.32
24287,0044011,Ventura,Unincorporated,26,Mainstream Dem,67,33.33,664,59.04,58.17,24.84,33.33
20464,4050051A,Los Angeles,Malibu,26,Mainstream Dem,81,19.68,2035,68.65,50.58,30.91,19.68
20254,4050059B,Los Angeles,Malibu,26,Mainstream Dem,73,27.68,2171,70.75,53.77,26.09,27.68
20469,1000077A,Los Angeles,Calabasas,26,Mainstream Dem,82,18.6,1113,,50.49,31.9,18.6
23973,0092049,Ventura,Thousand Oaks,26,Mainstream Dem,78,22.73,222,56.04,53.03,30.3,22.73
23924,0039024,Ventura,Moorpark,26,Moderate Rep-Leaning,94,5.65,861,70.07,39.57,45.22,-5.65
20632,0080007A,Los Angeles,Agoura Hills,26,Mainstream Dem,76,24.11,2937,67.11,52.34,28.23,24.11
20685,0080004A,Los Angeles,Agoura Hills,26,Mainstream Dem,77,23.01,1950,74.32,53.07,30.06,23.01
24728,0007029,Ventura,Camarillo,26,Mainstream Dem,88,12.0,470,60.73,47.27,35.27,12.0
19317,4060005A,Los Angeles,Unincorporated,27,Mainstream Dem,59,41.43,150,65.69,57.14,15.71,41.43
24755,0007034,Ventura,Camarillo,27,Moderate Dem-Leaning,94,5.81,602,60.31,44.48,38.66,5.81
20282,0080054A,Los Angeles,Agoura Hills,27,Mainstream Dem,86,14.47,1273,67.36,46.7,32.23,14.47
20541,0070005A,Los Angeles,Unincorporated,27,Moderate Dem-Leaning,93,7.26,1111,74.11,44.72,37.46,7.26
19199,9001352A,Los Angeles,Los Angeles,27,Mainstream Dem,69,30.92,1997,78.23,56.18,25.26,30.92
20393,1000033A,Los Angeles,Calabasas,27,Mainstream Dem,84,16.2,1854,78.6,48.61,32.4,16.2
20352,0080050A,Los Angeles,Agoura Hills,27,Mainstream Dem,83,17.24,3482,66.17,49.78,32.54,17.24
23988,0092099,Ventura,Thousand Oaks,27,Mainstream Dem,88,12.26,545,73.27,45.81,33.55,12.26
23996,0092097,Ventura,Thousand Oaks,27,Moderate Dem-Leaning,91,9.02,671,58.39,45.36,36.34,9.02
23896,0092067,Ventura,Thousand Oaks,27,Mainstream Dem,76,24.23,753,55.63,51.53,27.3,24.23
24537,0092110,Ventura,Thousand Oaks,27,Mainstream Dem,77,23.16,593,53.13,54.8,31.64,23.16
23634,0092103,Ventura,Thousand Oaks,27,Mainstream Dem,76,24.42,744,64.35,52.33,27.91,24.42
23646,0084075,Ventura,Simi Valley,27,Mainstream Rep,83,17.65,565,71.9,34.41,52.06,-17.65
24549,0092117,Ventura,Thousand Oaks,27,Mainstream Dem,68,32.7,343,49.84,57.86,25.16,32.7
23902,0092061,Ventura,Thousand Oaks,27,Mainstream Dem,77,23.68,951,62.07,52.64,28.96,23.68
24172,0044005,Ventura,Unincorporated,27,Mainstream Dem,74,26.19,449,63.36,58.73,32.54,26.19
23696,0084083,Ventura,Simi Valley,27,MAGA Rep,75,25.53,628,71.52,27.66,53.19,-25.53
24279,0084002,Ventura,Simi Valley,27,Moderate Rep-Leaning,99,1.03,903,61.18,41.28,42.31,-1.03
23789,0084068,Ventura,Simi Valley,27,Moderate Rep-Leaning,94,6.47,746,72.07,38.82,45.29,-6.47
24347,0084041,Ventura,Simi Valley,27,Mainstream Rep,87,13.36,615,64.1,34.59,47.95,-13.36
23728,0084059,Ventura,Simi Valley,27,Moderate Rep-Leaning,94,6.27,745,68.93,38.31,44.58,-6.27
24381,0084027,Ventura,Simi Valley,27,Mainstream Rep,81,18.71,691,62.18,32.31,51.02,-18.71
24400,0084024,Ventura,Simi Valley,27,Mainstream Rep,77,23.21,573,70.86,31.4,54.61,-23.21
23718,0084082,Ventura,Simi Valley,27,Mainstream Rep,82,17.93,701,73.21,31.31,49.24,-17.93
24474,0039019,Ventura,Moorpark,27,Mainstream Rep,89,10.66,616,70.17,36.05,46.71,-10.66
23798,0092029,Ventura,Thousand Oaks,27,Moderate Dem-Leaning,91,9.0,498,68.8,47.33,38.33,9.0
24496,0039014,Ventura,Moorpark,27,Moderate Dem-Leaning,94,5.96,550,72.28,44.2,38.24,5.96
23929,0092037,Ventura,Thousand Oaks,27,Moderate Dem-Leaning,95,5.3,807,61.22,43.61,38.31,5.3
23984,0092041,Ventura,Thousand Oaks,27,Moderate Dem-Leaning,92,8.17,735,66.03,44.41,36.24,8.17
19361,9007693D,Los Angeles,Los Angeles,27,Mainstream Dem,69,31.65,3095,75.5,56.58,24.93,31.65
19353,0080070A,Los Angeles,Agoura Hills,27,Mainstream Dem,78,22.24,2542,72.37,51.88,29.64,22.24
23485,0085000,Ventura,Unincorporated,27,MAGA Rep,71,29.41,349,78.53,26.96,56.37,-29.41
