precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat,dem_advantage
20139,7100004B,Los Angeles,Unincorporated,8,Progressive,2,Not Competitive,51.25,3631,58.59,66.2,14.96,Progressive Dem,51.25
24687,0005300,Ventura,Unincorporated,8,Progressive,4,Not Competitive,37.59,1099,44.55,60.2,22.6,Progressive Dem,37.59
23909,0039027,Ventura,Moorpark,8,Progressive,13,Not Competitive,18.39,226,43.58,50.57,32.18,Progressive Dem,18.39
23897,0092066,Ventura,Thousand Oaks,8,Progressive,4,Not Competitive,37.5,412,43.22,61.84,24.34,Progressive Dem,37.5
20884,7100030A,Los Angeles,Unincorporated,8,Progressive,2,Not Competitive,54.5,1233,,69.59,15.09,Progressive Dem,54.5
19105,7470001A,Los Angeles,Unincorporated,9,Progressive,15,Not Competitive,11.11,178,38.75,45.56,34.44,Progressive Dem,11.11
19761,9007689A,Los Angeles,Los Angeles,9,Progressive,5,Not Competitive,41.17,2266,,61.3,20.12,Progressive Dem,41.17
19658,9000267A,Los Angeles,Los Angeles,9,Progressive,7,Not Competitive,37.71,1803,,59.51,21.8,Progressive Dem,37.71
23833,0092001,Ventura,Thousand Oaks,9,Progressive,15,Not Competitive,16.84,684,46.74,50.17,33.33,Progressive Dem,16.84
23937,0092032,Ventura,Thousand Oaks,9,Progressive,3,Not Competitive,30.67,315,39.86,58.67,28.0,Progressive Dem,30.67
20760,9001364A,Los Angeles,Los Angeles,10,Progressive,6,Not Competitive,38.43,1728,,61.11,22.69,Progressive Dem,38.43
20560,9005918A,Los Angeles,Los Angeles,10,Progressive,2,Not Competitive,58.31,1676,70.16,71.04,12.74,Progressive Dem,58.31
24461,0039004,Ventura,Moorpark,10,Progressive,1,Not Competitive,60.84,555,50.0,74.83,13.99,Progressive Dem,60.84
19704,1000006A,Los Angeles,Calabasas,10,Progressive,12,Not Competitive,32.55,1023,,57.58,25.02,Progressive Dem,32.55
19041,9001312A,Los Angeles,Los Angeles,10,Progressive,3,Not Competitive,44.81,1446,,63.55,18.74,Progressive Dem,44.81
19024,9001317C,Los Angeles,Los Angeles,10,Progressive,3,Not Competitive,52.17,2614,52.22,66.18,14.01,Progressive Dem,52.17
23874,0084091,Ventura,Simi Valley,11,Progressive,65,Competitive,13.59,230,50.22,32.07,45.65,Progressive Dem,-13.59
24473,0039016,Ventura,Moorpark,11,Progressive,6,Not Competitive,29.63,243,57.71,58.33,28.7,Progressive Dem,29.63
20199,9005923A,Los Angeles,Los Angeles,11,Progressive,11,Not Competitive,30.79,1926,,55.82,25.03,Progressive Dem,30.79
24490,0039010,Ventura,Moorpark,11,Progressive,5,Not Competitive,23.37,437,51.87,55.98,32.61,Progressive Dem,23.37
20469,1000077A,Los Angeles,Calabasas,11,Progressive,47,Competitive,18.6,1113,,50.49,31.9,Progressive Dem,18.6
24549,0092117,Ventura,Thousand Oaks,12,Progressive,10,Not Competitive,32.7,343,49.84,57.86,25.16,Progressive Dem,32.7
23968,0039032,Ventura,Moorpark,12,Progressive,11,Not Competitive,21.3,445,47.61,54.44,33.14,Progressive Dem,21.3
23505,0084103,Ventura,Simi Valley,12,Progressive,47,Competitive,14.29,360,45.01,47.06,32.77,Progressive Dem,14.29
23834,0092000,Ventura,Thousand Oaks,12,Progressive,9,Not Competitive,28.09,378,43.54,55.62,27.53,Progressive Dem,28.09
23839,0092004,Ventura,Thousand Oaks,12,Progressive,13,Not Competitive,24.22,647,49.11,53.12,28.91,Progressive Dem,24.22
24009,0092079,Ventura,Thousand Oaks,12,Progressive,13,Not Competitive,32.43,506,43.63,55.14,22.7,Progressive Dem,32.43
20486,0070008A,Los Angeles,Unincorporated,13,Progressive,79,Highly Competitive,10.83,360,,45.0,34.17,Progressive Dem,10.83
24574,0092121,Ventura,Thousand Oaks,13,Progressive,27,Not Competitive,15.93,603,51.64,47.79,31.86,Progressive Dem,15.93
23891,0092053,Ventura,Thousand Oaks,13,Progressive,12,Not Competitive,28.65,460,54.08,54.05,25.41,Progressive Dem,28.65
24263,0084005,Ventura,Simi Valley,13,Progressive,63,Competitive,3.77,422,51.5,42.77,38.99,Progressive Dem,3.77
24289,0044013,Ventura,Unincorporated,13,Progressive,20,Not Competitive,20.45,571,50.09,50.19,29.74,Progressive Dem,20.45
23717,0006929,Ventura,Camarillo,14,Progressive,76,Highly Competitive,1.28,165,56.41,35.9,37.18,Progressive Dem,-1.28
24379,0084028,Ventura,Simi Valley,14,Progressive,41,Competitive,21.82,352,40.83,52.73,30.91,Progressive Dem,21.82
20070,7770011A,Los Angeles,Westlake Village,14,Progressive,92,Highly Competitive,0.21,1400,,41.0,41.21,Progressive Dem,-0.21
23472,0007050,Ventura,Camarillo,14,Progressive,18,Not Competitive,17.02,347,45.09,48.94,31.91,Progressive Dem,17.02
24537,0092110,Ventura,Thousand Oaks,14,Progressive,15,Not Competitive,23.16,593,53.13,54.8,31.64,Progressive Dem,23.16
23939,0092031,Ventura,Thousand Oaks,14,Progressive,35,Competitive,15.86,374,47.49,45.52,29.66,Progressive Dem,15.86
19317,4060005A,Los Angeles,Unincorporated,15,Progressive,5,Not Competitive,41.43,150,65.69,57.14,15.71,Mainstream Dem,41.43
20225,9005833A,Los Angeles,Los Angeles,15,Progressive,3,Not Competitive,47.9,3211,62.0,64.64,16.74,Mainstream Dem,47.9
24023,0092080,Ventura,Thousand Oaks,15,Progressive,20,Not Competitive,21.6,536,52.31,50.4,28.8,Mainstream Dem,21.6
24593,0092120,Ventura,Thousand Oaks,15,Progressive,21,Not Competitive,19.55,596,52.59,48.5,28.95,Mainstream Dem,19.55
23973,0092049,Ventura,Thousand Oaks,15,Progressive,25,Not Competitive,22.73,222,56.04,53.03,30.3,Mainstream Dem,22.73
24166,0044000,Ventura,Unincorporated,16,Progressive,12,Not Competitive,20.22,448,59.07,49.06,28.84,Mainstream Dem,20.22
24576,0092124,Ventura,Thousand Oaks,16,Progressive,56,Competitive,10.33,556,55.19,42.56,32.23,Mainstream Dem,10.33
23836,0092003,Ventura,Thousand Oaks,16,Progressive,10,Not Competitive,20.98,394,49.32,50.35,29.37,Mainstream Dem,20.98
23927,0092038,Ventura,Thousand Oaks,16,Progressive,20,Not Competitive,12.95,726,56.7,48.44,35.49,Mainstream Dem,12.95
23896,0092067,Ventura,Thousand Oaks,16,Progressive,23,Not Competitive,24.23,753,55.63,51.53,27.3,Mainstream Dem,24.23
24454,0039005,Ventura,Moorpark,16,Progressive,61,Competitive,7.98,622,53.81,45.07,37.09,Mainstream Dem,7.98
24459,0039002,Ventura,Moorpark,17,Progressive,32,Not Competitive,11.59,614,53.46,45.92,34.33,Mainstream Dem,11.59
24346,0084042,Ventura,Simi Valley,17,Progressive,60,Competitive,0.36,592,56.69,41.79,41.43,Mainstream Dem,0.36
24172,0044005,Ventura,Unincorporated,17,Progressive,7,Not Competitive,26.19,449,63.36,58.73,32.54,Mainstream Dem,26.19
23991,0092094,Ventura,Thousand Oaks,17,Progressive,28,Not Competitive,20.3,504,61.3,51.29,31.0,Mainstream Dem,20.3
