precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
23874,0084091,Ventura,Simi Valley,16,Progressive,230,50.22
23505,0084103,Ventura,Simi Valley,18,Progressive,360,45.01
23897,0092066,Ventura,Thousand Oaks,19,Progressive,412,43.22
20139,7100004B,Los Angeles,Unincorporated,19,Progressive,3631,58.59
20560,9005918A,Los Angeles,Los Angeles,21,Progressive,1676,70.16
20884,7100030A,Los Angeles,Unincorporated,22,Progressive,1233,
24461,0039004,Ventura,Moorpark,22,Progressive,555,50.0
24263,0084005,Ventura,Simi Valley,22,Progressive,422,51.5
19024,9001317C,Los Angeles,Los Angeles,23,Progressive,2614,52.22
24473,0039016,Ventura,Moorpark,24,Progressive,243,57.71
24490,0039010,Ventura,Moorpark,24,Progressive,437,51.87
23839,0092004,Ventura,Thousand Oaks,25,Progressive,647,49.11
19041,9001312A,Los Angeles,Los Angeles,25,Progressive,1446,
20225,9005833A,Los Angeles,Los Angeles,25,Progressive,3211,62.0
23833,0092001,Ventura,Thousand Oaks,25,Progressive,684,46.74
23737,0006924,Ventura,Camarillo,26,Progressive,365,64.04
19761,9007689A,Los Angeles,Los Angeles,26,Progressive,2266,
19658,9000267A,Los Angeles,Los Angeles,26,Progressive,1803,
19717,9001382A,Los Angeles,Los Angeles,26,Progressive,2344,76.18
20760,9001364A,Los Angeles,Los Angeles,27,Progressive,1728,
20876,9001408A,Los Angeles,Los Angeles,27,Progressive,1944,77.69
20658,9001367B,Los Angeles,Los Angeles,28,Progressive,3917,83.04
24288,0044010,Ventura,Unincorporated,28,Progressive,630,63.05
24376,0084025,Ventura,Simi Valley,28,Progressive,475,62.69
19377,4060001A,Los Angeles,Unincorporated,28,Progressive,794,69.78
19661,1000009A,Los Angeles,Calabasas,28,Progressive,491,71.84
19704,1000006A,Los Angeles,Calabasas,28,Progressive,1023,
20596,0070006A,Los Angeles,Unincorporated,28,Progressive,1330,72.1
23939,0092031,Ventura,Thousand Oaks,29,Progressive,374,47.49
20254,4050059B,Los Angeles,Malibu,29,Progressive,2171,70.75
