precinct_id,city,rep_reg_pct,rep_turnout_pct,rep_performance,total_turnout,categories
23908,Moorpark,38.37,56.45,18.08,124.0,REP_LEAN|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
24458,Moorpark,41.47,59.39,17.92,293.0,REP_LEAN|DEM_UNDERPERFORM|REP_OVERPERFORM
24272,Simi Valley,33.74,51.63,17.89,368.0,LEAN|REP_LEAN|REP_OVERPERFORM
23529,Simi Valley,36.71,54.44,17.73,169.0,REP_LEAN|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
23874,Simi Valley,28.3,45.65,17.35,184.0,LEAN|REP_LEAN|DEM_UNDERPERFORM|REP_OVERPERFORM
24354,Simi Valley,32.74,49.74,17.0,189.0,LEAN|REP_LEAN|REP_OVERPERFORM
24362,Simi Valley,33.41,50.39,16.98,256.0,LEAN|REP_LEAN|REP_OVERPERFORM
24324,Simi Valley,33.99,50.87,16.88,346.0,REP_LEAN|DEM_UNDERPERFORM|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
24395,Simi Valley,28.94,45.53,16.59,235.0,COMPETITIVE|REP_LEAN|REP_OVERPERFORM|REP_FLIP_TARGET
23454,Simi Valley,37.81,53.64,15.83,220.0,REP_LEAN|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
23864,Simi Valley,37.69,53.17,15.48,331.0,REP_LEAN|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
24359,Simi Valley,39.96,55.11,15.15,421.0,REP_LEAN|DEM_UNDERPERFORM|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
23881,Simi Valley,32.2,47.14,14.94,227.0,COMPETITIVE|REP_LEAN|REP_OVERPERFORM|REP_FLIP_TARGET
23800,Thousand Oaks,31.75,46.55,14.8,174.0,COMPETITIVE|REP_LEAN|REP_OVERPERFORM|REP_FLIP_TARGET
23757,Simi Valley,40.68,55.15,14.47,388.0,REP_LEAN|DEM_UNDERPERFORM|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
23670,Simi Valley,36.25,50.67,14.42,298.0,LEAN|REP_LEAN|REP_OVERPERFORM
23449,Simi Valley,39.84,54.23,14.39,319.0,REP_LEAN|REP_OVERPERFORM
24741,Camarillo,40.55,54.91,14.36,173.0,REP_LEAN|DEM_UNDERPERFORM|REP_OVERPERFORM|HIGH_TURNOUT_IMPACT
23694,Simi Valley,46.48,60.68,14.2,351.0,REP_LEAN|REP_OVERPERFORM
24345,Simi Valley,37.54,51.71,14.17,234.0,LEAN|REP_LEAN|REP_OVERPERFORM
