Jurisdiction ID,Jurisdiction Name,County,Measure Name,Measure Year,Election Type,Election Date,Measure Type,Measure Topic,Threshold,Pass/Fail,Yes Votes,No Votes,Yes %,No %,Total Votes,Turnout Rate %
5,Ventura County,Ventura,Measure AA,2016,general,2016-11-08,Sales Tax,Transport,Two-thirds,Fail,193449,140600,57.9,42.1,334049,95.9
675,City of Fillmore,Ventura,Measure H,2016,general,2016-11-08,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2760,1815,60.3,39.7,4575,92.7
675,City of Fillmore,Ventura,Measure I,2016,general,2016-11-08,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2939,1617,64.5,35.5,4556,92.4
829,City of Ojai,Ventura,Measure G,2020,general,2020-11-03,Business Tax,General Services,Majority,Pass,3165,1408,69.2,30.8,4573,90.4
829,City of Ojai,Ventura,Measure C,2020,general,2020-03-03,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Two-thirds,Pass,2846,579,83.1,16.9,3425,67.7
836,City of Oxnard,Ventura,Measure E,2020,general,2020-11-03,Sales Tax,General Services,Majority,Pass,36197,30931,53.9,46.1,67128,92.7
836,City of Oxnard,Ventura,Measure G,2018,general,2018-11-06,Business Tax,General Services,Majority,Pass,33713,8551,79.8,20.2,42264,88.4
836,City of Oxnard,Ventura,Measure M,2016,general,2016-11-08,Utility Tax,Revenues: Tax Repeal/Reduction/Limit,Majority,Pass,36440,14040,72.2,27.8,50480,85.1
864,City of Port Hueneme,Ventura,Measure U,2018,general,2018-11-06,Sales Tax,General Services,Majority,Pass,3789,1676,69.3,30.7,5465,89.1
864,City of Port Hueneme,Ventura,Measure M,2014,general,2014-11-04,Business Tax,Revenues: Tax Repeal/Reduction/Limit,Majority,Fail,1699,2133,44.3,55.7,3832,93.4
930,City of Santa Paula,Ventura,Measure R,2024,general,2024-11-05,Sales Tax,General Services,Majority,Pass,6014,4004,60.0,40.0,10018,96.7
930,City of Santa Paula,Ventura,Measure N,2018,general,2018-11-06,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,5053,1981,71.8,28.2,7034,92.2
930,City of Santa Paula,Ventura,Measure T,2016,general,2016-11-08,Sales Tax,Safety: Multiple Emergency Services,Majority,Pass,5145,3670,58.4,41.6,8815,95.5
930,City of Santa Paula,Ventura,Measure F,2014,general,2014-11-04,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Two-thirds,Fail,2931,2152,57.7,42.3,5083,98.1
944,City of Simi Valley,Ventura,Measure Q,2018,general,2018-11-06,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,31171,15718,66.5,33.5,46889,88.9
967,City of Thousand Oaks,Ventura,Measure P,2018,general,2018-11-06,Business Tax,General Services,Majority,Pass,39967,12374,76.4,23.6,52341,86.2
983,City of Ventura,Ventura,Measure I,2020,general,2020-11-03,Business Tax,General Services,Majority,Pass,42321,16583,71.8,28.2,58904,95.6
2341,El Tejon Unified,Ventura,Measure D,2018,general,2018-06-05,GO Bond,Education,Fifty-five,Pass,1098,789,58.2,41.8,1887,61.5
2568,Ocean View,Ventura,Measure R,2016,general,2016-11-08,GO Bond,Education,Fifty-five,Pass,22386,15600,58.9,41.1,37986,90.7
2568,Ocean View,Ventura,Measure P,2012,general,2012-11-06,GO Bond,Education: Bonds,Fifty-five,Fail,21230,16697,56.0,44.0,37927,
2779,Cuyama Joint Unified,Ventura,Measure Q,2016,general,2016-06-07,GO Bond,Education,Fifty-five,Pass,195,67,74.4,25.6,262,77.7
3028,Briggs Elementary,Ventura,Measure G,2024,general,2024-11-05,GO Bond,Education,Fifty-five,Pass,554,435,56.0,44.0,989,95.7
3028,Briggs Elementary,Ventura,Measure K,2014,general,2014-11-04,GO Bond,Education,Fifty-five,Pass,398,189,67.8,32.2,587,100.5
3029,Fillmore Unified,Ventura,Measure G,2022,general,2022-11-08,GO Bond,Education,Fifty-five,Pass,3066,1663,64.8,35.2,4729,96.9
3029,Fillmore Unified,Ventura,Measure V,2016,general,2016-11-08,GO Bond,Education,Fifty-five,Pass,4376,1628,72.9,27.1,6004,96.4
3030,Hueneme Elementary,Ventura,Measure C,2024,general,2024-03-05,GO Bond,Education,Fifty-five,Pass,3621,1838,66.3,33.7,5459,36.7
3030,Hueneme Elementary,Ventura,Measure B,2018,general,2018-06-05,GO Bond,Education,Fifty-five,Pass,3491,1537,69.4,30.6,5028,43.4
3030,Hueneme Elementary,Ventura,Measure T,2012,general,2012-11-06,GO Bond,Education: Bonds,Fifty-five,Pass,8408,2603,76.4,23.6,11011,
3031,Mesa Union Elementary,Ventura,Measure O,2018,general,2018-11-06,GO Bond,Education,Fifty-five,Pass,862,683,55.8,44.2,1545,90.5
3032,Mupu Elementary,Ventura,Measure J,2022,general,2022-11-08,GO Bond,Education,Fifty-five,Pass,178,67,72.7,27.3,245,92.8
3032,Mupu Elementary,Ventura,Measure K,2022,general,2022-11-08,GO Bond,Education,Fifty-five,Pass,177,68,72.2,27.8,245,92.8
3033,Ojai Unified,Ventura,Measure K,2020,general,2020-11-03,GO Bond,Education: Bonds,Fifty-five,Pass,7838,5119,60.5,39.5,12957,95.0
3033,Ojai Unified,Ventura,Measure J,2014,general,2014-11-04,GO Bond,Education,Fifty-five,Pass,5223,2432,68.2,31.8,7655,97.4
3034,Oxnard,Ventura,Measure I,2022,general,2022-11-08,GO Bond,Education,Fifty-five,Pass,13546,9965,57.6,42.4,23511,95.2
3034,Oxnard,Ventura,Measure D,2016,general,2016-11-08,GO Bond,Education,Fifty-five,Pass,24418,10494,69.9,30.1,34912,92.9
3034,Oxnard,Ventura,Measure R,2012,general,2012-11-06,GO Bond,Education: Bonds,Fifty-five,Pass,19968,10110,66.4,33.6,30078,
3035,Oxnard Union High,Ventura,Measure E,2024,general,2024-11-05,GO Bond,Education,Fifty-five,Pass,64429,49082,56.8,43.2,113511,94.2
3035,Oxnard Union High,Ventura,Measure A,2018,general,2018-06-05,GO Bond,Education,Fifty-five,Pass,25217,19502,56.4,43.6,44719,47.8
3036,Pleasant Valley,Ventura,Measure C,2018,general,2018-06-05,GO Bond,Education,Fifty-five,Pass,10650,8644,55.2,44.8,19294,55.0
3037,Rio Elementary,Ventura,Measure H,2022,general,2022-11-08,GO Bond,Education,Fifty-five,Pass,4726,2843,62.4,37.6,7569,93.4
3037,Rio Elementary,Ventura,Measure L,2018,general,2018-11-06,GO Bond,Education,Fifty-five,Pass,6714,2614,72.0,28.0,9328,92.9
3037,Rio Elementary,Ventura,Measure G,2014,general,2014-11-04,GO Bond,Education,Fifty-five,Pass,3753,1538,70.9,29.1,5291,96.5
3039,Simi Valley Unified,Ventura,Measure X,2016,general,2016-11-08,GO Bond,Education,Fifty-five,Pass,36644,18845,66.0,34.0,55489,94.2
3040,Somis Union,Ventura,Measure S,2012,general,2012-11-06,GO Bond,Education: Bonds,Fifty-five,Pass,955,461,67.4,32.6,1416,
3041,Ventura Unified,Ventura,Measure E,2022,general,2022-11-08,GO Bond,Education,Majority,Pass,26994,17542,60.6,39.4,44536,95.2
3042,Conejo Valley Unified,Ventura,Measure I,2014,general,2014-11-04,GO Bond,Education,Fifty-five,Pass,27468,14184,65.9,34.1,41652,96.1
3043,Oak Park Unified,Ventura,Measure S,2016,general,2016-11-08,GO Bond,Education,Fifty-five,Pass,4453,2559,63.5,36.5,7012,96.1
3044,Moorpark Unified,Ventura,Measure A,2020,general,2020-03-03,GO Bond,Education: Bonds,Fifty-five,Fail,5328,6349,45.6,54.4,11677,55.1
3045,Santa Paula Unified,Ventura,Measure M,2024,general,2024-11-05,GO Bond,Education,Fifty-five,Fail,4808,4444,52.0,48.0,9252,83.2
3045,Santa Paula Unified,Ventura,Measure N,2024,general,2024-11-05,GO Bond,Education,Fifty-five,Fail,5605,5048,52.6,47.4,10653,95.8
3045,Santa Paula Unified,Ventura,Measure A,2024,general,2024-03-05,GO Bond,Education,Fifty-five,Fail,2169,2115,50.6,49.4,4284,38.5
3045,Santa Paula Unified,Ventura,Measure B,2024,general,2024-03-05,GO Bond,Education,Fifty-five,Fail,2595,2426,51.7,48.3,5021,45.1
3045,Santa Paula Unified,Ventura,Measure P,2016,general,2016-06-07,GO Bond,Education,Fifty-five,Pass,3110,2026,60.6,39.4,5136,51.7
3055,Las Virgenes Unified,Ventura,Measure S,2022,general,2022-11-08,GO Bond,Education,Fifty-five,Pass,17296,9645,64.2,35.8,26941,94.3
3055,Las Virgenes Unified,Ventura,Measure V,2020,general,2020-03-03,GO Bond,Education: Bonds,Fifty-five,Fail,11966,9969,54.6,45.4,21935,53.6
6,Los Angeles County,Los Angeles,Measure A,2024,general,2024-11-05,Sales Tax,General Services: Social/Welfare,Majority,Pass,1989295,1453394,57.8,42.2,3442689,92.3
6,Los Angeles County,Los Angeles,Measure E,2024,general,2024-11-05,Property Tax,Safety: Multiple Emergency Services,Majority,Pass,704826,575444,55.1,44.9,1280270,34.3
6,Los Angeles County,Los Angeles,Measure C,2022,general,2022-11-08,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,1323160,875617,60.2,39.8,2198777,92.0
6,Los Angeles County,Los Angeles,Measure W,2018,general,2018-11-06,Property Tax,Environment: Regulation/Mitigation,Two-thirds,Pass,1805050,793890,69.5,30.5,2598940,88.3
6,Los Angeles County,Los Angeles,Measure H,2017,general,2017-03-07,Sales Tax,General Services: Social/Welfare,Two-thirds,Pass,585905,259098,69.3,30.7,845003,
6,Los Angeles County,Los Angeles,Measure M,2016,general,2016-11-08,Sales Tax,Transport,Two-thirds,Pass,2259654,916375,71.1,28.9,3176029,92.8
6,Los Angeles County,Los Angeles,Measure P,2014,general,2014-11-04,Property Tax,Revenues: Tax Creation/Incr./Contin.,Two-thirds,Fail,862224,508672,62.9,37.1,1370896,93.6
6,Los Angeles County,Los Angeles,Measure CL,2012,general,2012-11-06,Property Tax,Education,Two-thirds,Pass,26631,11186,70.4,29.6,37817,
6,Los Angeles County,Los Angeles,Measure J,2012,general,2012-11-06,Sales Tax,Transport,Two-thirds,Fail,1893340,970611,66.1,33.9,2863951,
6,Los Angeles County,Los Angeles,Measure H,2012,general,2012-06-05,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,522354,338288,60.7,39.3,860642,
6,Los Angeles County,Los Angeles,Measure L,2012,general,2012-06-05,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,540260,316217,63.1,36.9,856477,
540,City of Alhambra,Los Angeles,Measure AL,2020,general,2020-03-03,Sales Tax,General Services,Majority,Pass,9025,5152,63.7,36.3,14177,39.5
550,City of Arcadia,Los Angeles,Measure HT,2022,general,2022-11-08,Transient Occupancy Tax,General Services,Majority,Pass,7675,6563,53.9,46.1,14238,94.7
550,City of Arcadia,Los Angeles,Measure SW,2022,general,2022-11-08,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,9085,5097,64.1,35.9,14182,94.3
550,City of Arcadia,Los Angeles,Measure A,2019,general,2019-06-04,Sales Tax,Safety: Multiple Emergency Services,Majority,Pass,4811,2728,63.8,36.2,7539,
550,City of Arcadia,Los Angeles,Measure A,2016,general,2016-04-12,Utility Tax,Revenues: Tax Repeal/Reduction/Limit,Majority,Fail,3109,5617,35.6,64.4,8726,46.7
550,City of Arcadia,Los Angeles,Measure D,2012,general,2012-04-10,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,4219,1133,78.8,21.2,5352,
553,City of Artesia,Los Angeles,Measure AAA,2024,general,2024-11-05,Sales Tax,General Services,Majority,Pass,3619,1670,68.4,31.6,5289,91.5
553,City of Artesia,Los Angeles,Measure Q,2020,general,2020-11-03,Business Tax,General Services,Majority,Pass,3930,1904,67.4,32.6,5834,80.6
553,City of Artesia,Los Angeles,Measure AA,2020,general,2020-03-03,Sales Tax,General Services,Majority,Fail,1287,1337,49.0,51.0,2624,36.3
553,City of Artesia,Los Angeles,Measure BB,2020,general,2020-03-03,Transient Occupancy Tax,General Services,Majority,Fail,1210,1396,46.4,53.6,2606,36.0
553,City of Artesia,Los Angeles,Measure Y,2014,general,2014-11-04,Utility Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,791,1278,38.2,61.8,2069,83.4
553,City of Artesia,Los Angeles,Measure M,2012,general,2012-11-06,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2951,813,78.4,21.6,3764,
