city,primary_total,primary_dem,primary_rep,general_total,general_dem,general_rep,surge_total,surge_dem,surge_rep,dem_share_of_surge,rep_share_of_surge
Los Angeles,24132.0,14250.0,5414.0,44110.0,24119.0,8934.0,19978.0,9869.0,3520.0,49.4,17.62
Malibu,3219.0,1653.0,933.0,5992.0,2934.0,1453.0,2773.0,1281.0,520.0,46.2,18.75
Agoura Hills,6552.0,3353.0,1987.0,12184.0,5755.0,3355.0,5632.0,2402.0,1368.0,42.65,24.29
Calabasas,6505.0,3359.0,1928.0,12971.0,6094.0,3496.0,6466.0,2735.0,1568.0,42.3,24.25
Moorpark,9495.0,3767.0,4083.0,18765.0,7477.0,6793.0,9270.0,3710.0,2710.0,40.02,29.23
Hidden Hills,566.0,240.0,201.0,1069.0,441.0,351.0,503.0,201.0,150.0,39.96,29.82
Thousand Oaks,38981.0,16390.0,15496.0,71091.0,28612.0,24701.0,32110.0,12222.0,9205.0,38.06,28.67
Westlake Village,3046.0,1324.0,1163.0,5220.0,2148.0,1767.0,2174.0,824.0,604.0,37.9,27.78
Camarillo,11655.0,4835.0,4844.0,19980.0,7987.0,7380.0,8325.0,3152.0,2536.0,37.86,30.46
Simi Valley,33127.0,11554.0,15958.0,65808.0,22912.0,27208.0,32681.0,11358.0,11250.0,34.75,34.42
